"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";1
"AC";"Caçador de Subsistência";"RENOVAÇÕES";1
"AC";"Cidadão";"REGISTROS NOVOS";64
"AC";"Cidadão";"RENOVAÇÕES";4
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";8
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AL";"Cidadão";"REGISTROS NOVOS";12
"AL";"Cidadão";"RENOVAÇÕES";4
"AL";"Cidadão";"TRANSFERENCIAS";1
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";21
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"AM";"Cidadão";"REGISTROS NOVOS";31
"AM";"Empresa de Segurança Privada";"TRANSFERENCIAS";15
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";6
"AP";"Cidadão";"REGISTROS NOVOS";8
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";10
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"BA";"Cidadão";"REGISTROS NOVOS";149
"BA";"Cidadão";"RENOVAÇÕES";19
"BA";"Cidadão";"TRANSFERENCIAS";7
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";1
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";94
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";19
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"CE";"Cidadão";"REGISTROS NOVOS";28
"CE";"Cidadão";"RENOVAÇÕES";21
"CE";"Cidadão";"TRANSFERENCIAS";1
"CE";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";1
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";5
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";15
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";45
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";12
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"CE";"Órgão público sem taxa";"REGISTROS NOVOS";10
"DF";"Cidadão";"REGISTROS NOVOS";234
"DF";"Cidadão";"RENOVAÇÕES";56
"DF";"Cidadão";"TRANSFERENCIAS";17
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";26
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";12
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"DF";"Órgão público sem taxa";"REGISTROS NOVOS";1
"DF";"Órgão público sem taxa";"TRANSFERENCIAS";3
"ES";"Cidadão";"REGISTROS NOVOS";659
"ES";"Cidadão";"RENOVAÇÕES";61
"ES";"Cidadão";"TRANSFERENCIAS";22
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";20
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"ES";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"GO";"Cidadão";"REGISTROS NOVOS";118
"GO";"Cidadão";"RENOVAÇÕES";27
"GO";"Cidadão";"TRANSFERENCIAS";6
"GO";"Empresa com Segurança Orgânica";"RENOVAÇÕES";4
"GO";"Empresa de Segurança Privada";"REGISTROS NOVOS";3
"GO";"Empresa de Segurança Privada";"RENOVAÇÕES";24
"GO";"Empresa de Segurança Privada";"TRANSFERENCIAS";17
"GO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";48
"GO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";17
"GO";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";8
"MA";"Cidadão";"REGISTROS NOVOS";130
"MA";"Cidadão";"RENOVAÇÕES";18
"MA";"Empresa com Segurança Orgânica";"RENOVAÇÕES";1
"MA";"Empresa de Segurança Privada";"TRANSFERENCIAS";70
"MA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";27
"MA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";13
"MA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"MG";"Cidadão";"REGISTROS NOVOS";679
"MG";"Cidadão";"RENOVAÇÕES";154
"MG";"Cidadão";"TRANSFERENCIAS";19
"MG";"Empresa Comercial";"REGISTROS NOVOS";6
"MG";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";3
"MG";"Empresa de Segurança Privada";"REGISTROS NOVOS";18
